Date,total confirmed cases
15-04-2020,1118
16-04-2020,826
17-04-2020,1076
18-04-2020,957
19-04-2020,1324
20-04-2020,1540
21-04-2020,1329
22-04-2020,1486
23-04-2020,1229
24-04-2020,1752
25-04-2020,1441
26-04-2020,1712
27-04-2020,1555
28-04-2020,1674
29-04-2020,1953
30-04-2020,1823
01-05-2020,1755
02-05-2020,2411
03-05-2020,2487
04-05-2020,2573
05-05-2020,3875
06-05-2020,2680
07-05-2020,3561
08-05-2020,3390
09-05-2020,3320
10-05-2020,3277
11-05-2020,4213
12-05-2020,3604
13-05-2020,3525
14-05-2020,3722
15-05-2020,3927
16-05-2020,3970
17-05-2020,4987
18-05-2020,5242
19-05-2020,5970
20-05-2020,5611
21-05-2020,5609
22-05-2020,5515
